STATE,CITY,TIMEZONE,UTC-DIFFERENCE
AL,"Phenix City",EST,"UTC - 5"
AL,"Phil Campbell",CST,"UTC - 6"
AL,Piedmont,CST,"UTC - 6"
AL,"Pike Road",CST,"UTC - 6"
AL,Pinckard,CST,"UTC - 6"
AL,"Pine Apple",CST,"UTC - 6"
AL,"Pine Hill",CST,"UTC - 6"
AL,"Pine Level",CST,"UTC - 6"
AL,Pinegrove,CST,"UTC - 6"
AL,Pinson,CST,"UTC - 6"
AL,Pisgah,CST,"UTC - 6"
AL,Pittsview,CST,"UTC - 6"
AL,Plantersville,CST,"UTC - 6"
AL,"Pleasant Grove",CST,"UTC - 6"
AL,"Pleasant Home",CST,"UTC - 6"
AL,"Point Clear",CST,"UTC - 6"
AL,Pollard,CST,"UTC - 6"
AL,Praco,CST,"UTC - 6"
AL,Prairie,CST,"UTC - 6"
AL,Prattville,CST,"UTC - 6"
AL,Prestwick,CST,"UTC - 6"
AL,Prichard,CST,"UTC - 6"
AL,Princeton,CST,"UTC - 6"
AL,Pville,CST,"UTC - 6"
AL,Pyriton,CST,"UTC - 6"
AL,Quinton,CST,"UTC - 6"
AL,Ragland,CST,"UTC - 6"
AL,"Rainbow City",CST,"UTC - 6"
AL,Rainsville,CST,"UTC - 6"
AL,Ralph,CST,"UTC - 6"
AL,Ramer,CST,"UTC - 6"
AL,Ranburne,CST,"UTC - 6"
AL,Randolph,CST,"UTC - 6"
AL,Range,CST,"UTC - 6"
AL,"Red Bay",CST,"UTC - 6"
AL,"Red Level",CST,"UTC - 6"
AL,"Reece City",CST,"UTC - 6"
