STATE,CITY,STANDARD_TZ,DAYLIGHT_TZ,UTC_STANDARD,UTC_DAYLIGHT,START_DAYLIGHT,END_DAYLIGHT
AL,Coalburg,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Coaling,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Coatopa,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cochrane,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Coden,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Coffee Springs",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Coffeeville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Coker,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Collinsville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Columbia,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Columbiana,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Comer,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Concord,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Cook Springs",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Coosa Pines",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Coosada,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Copeland,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cordova,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Corinth,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cortelyou,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cottondale,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cottonton,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cottonwood,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Courtland,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cowarts,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Coy,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cragford,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Crane Hill",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Creola,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Crestline,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,"Crestline Heights",CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cropwell,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Crossville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cuba,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cullman,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cusseta,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Cypress,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Dadeville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Daleville,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
AL,Damascus,CST,CDT,"UTC - 6h","UTC - 5h",March-12-2017,November-5-2017
